City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,cortez,37.3489,-108.5859,283.57,37,40,5.14,US,1670093489
169,storforshei,66.4043,14.5233,264.63,85,30,1.03,NO,1670093489
170,lagoa,39.05,-27.9833,288.1,70,71,15.9,PT,1670093360
171,san cristobal,7.7669,-72.225,296.25,69,84,1.3,VE,1670093490
172,savantvadi,15.9,73.8167,296.47,76,98,1.11,IN,1670093490
173,luangwa,-15.6167,30.4167,300.99,37,0,1.16,ZM,1670093490
174,zaysan,47.4667,84.8667,255.36,87,72,1.59,KZ,1670093491
175,ilebo,-4.3167,20.5833,295.81,94,98,0.77,CD,1670093491
176,birin,26.8865,88.0718,282.65,76,0,2.18,NP,1670093491
177,amberley,39.2048,-84.428,281.72,52,0,7.72,US,1670093492
178,rampur hat,24.1667,87.7833,289.96,32,0,2.73,IN,1670093492
179,iquique,-20.2208,-70.1431,295.17,66,14,5.06,CL,1670093492
180,bethel,41.3712,-73.414,286.35,86,100,1.34,US,1670093493
181,korla,41.7597,86.1469,266.9,36,0,0.44,CN,1670093493
182,lompoc,34.6391,-120.4579,290.84,93,100,4.63,US,1670093208
183,sumbe,-11.2061,13.8437,298.76,86,100,3.52,AO,1670093494
184,nizhniy kuranakh,58.8353,125.4869,253.16,96,100,3.52,RU,1670093494
185,andra,62.5147,65.8878,262.73,95,100,4.25,RU,1670093494
186,hami,42.8,93.45,266.64,41,6,1.98,CN,1670093495
187,bilma,18.6853,12.9164,298.23,19,38,3.59,NE,1670093495
188,barcelos,41.5388,-8.6151,283.66,73,0,1.35,PT,1670093413
189,trelew,-43.249,-65.3051,302.85,12,47,10.52,AR,1670093496
190,plouzane,48.3833,-4.6167,278.25,81,100,4.63,FR,1670093496
191,vila velha,-20.3297,-40.2925,296.12,99,100,1.03,BR,1670093209
192,asau,46.4333,26.4,271.66,94,99,1.04,RO,1670093497
193,padang,-0.9492,100.3543,297.17,88,100,1.47,ID,1670093339
194,oppdal,62.5943,9.6912,264.94,75,19,2.92,NO,1670093497
195,jadu,31.953,12.0261,288.33,26,31,1.97,LY,1670093498
196,college,64.8569,-147.8028,269.33,89,100,3.09,US,1670093355
197,puerto el triunfo,13.2833,-88.55,304.1,53,1,1.64,SV,1670093498
198,delvada,20.7667,71.0333,295.46,46,5,3.29,IN,1670093499
199,ulagan,50.6321,87.9563,247.49,89,34,1.12,RU,1670093499
200,dauriya,49.9333,116.8667,248.5,96,20,3.5,RU,1670093500
201,santa maria,-29.6842,-53.8069,303.76,55,40,3.6,BR,1670093239
202,praia,14.9215,-23.5087,298.45,50,40,5.14,CV,1670093436
203,kumbhraj,24.3667,77.05,289.47,43,44,2.44,IN,1670093501
